"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SL1344_4089",3485.59301639868,-2.60941829055875,0.218357528958251,-11.9502098370863,6.47615144029011e-33,2.29447309127462e-31
"SL1344_2502",246.975034499818,-2.87331315653908,0.240621162196063,-11.9412321439868,7.2146436136238e-33,2.53824279861128e-31
"SL1344_2043",306.732055720672,3.3913437654214,0.2849742806723,11.9005257506772,1.17603893519707e-32,4.10878602984477e-31
"SL1344_1556",892.237151802243,2.50491095212737,0.211588010754918,11.8386242357975,2.46462643330721e-32,8.55140385239213e-31
"CyaR",4539.02103425392,2.9268425592248,0.247334199058327,11.8335538327014,2.618172268535e-32,8.96056100884324e-31
"SL1344_ncRNA_57",4539.02103425392,2.9268425592248,0.247334199058327,11.8335538327014,2.618172268535e-32,8.96056100884324e-31
"SL1344_2792",180.462180350683,-3.15814476162574,0.267778570361843,-11.7938666912674,4.19814084385408e-32,1.42708422874526e-30
"SL1344_4267",7152.42899275853,-2.50352774889092,0.213278327166281,-11.7383129460644,8.10878286265475e-32,2.7379386967796e-30
"SL1344_0153",4042.59950127935,-3.2703504724557,0.280036969536538,-11.6782811850454,1.64590018003955e-31,5.52034920385264e-30
"SL1344_1493",468.263493788895,4.27420003894298,0.368101201649473,11.6114808095984,3.60320852656993e-31,1.20051272166711e-29
"SL1344_0012",3521.57767610403,-2.78499825854974,0.240602679628247,-11.5750924422488,5.5111822668722e-31,1.82412881477856e-29
"SL1344_4026",229.471372043713,4.26580015090375,0.368666450965701,11.5708932552168,5.78769404058681e-31,1.90312998158119e-29
"SL1344_2503",514.27496625053,-2.91250493233676,0.252191436942383,-11.5487859843638,7.48705302525922e-31,2.4459327123428e-29
"SL1344_ncRNA_47",191768.889411279,3.08552588816742,0.267766759025701,11.5231849516887,1.00814336082726e-30,3.25126233866793e-29
"SdsR",191768.889411279,3.08552588816742,0.267766759025701,11.5231849516887,1.00814336082726e-30,3.25126233866793e-29
"SL1344_2786",597.400953800905,3.34951223527698,0.290711302660475,11.5217819349422,1.02469664681347e-30,3.28359798096726e-29
"STnc3420",252.586070312664,5.46000513725466,0.475321514991437,11.4869724282374,1.53394061080835e-30,4.8843387423904e-29
"SL1344_3645",2007.69915289857,2.90985517670349,0.253333030798062,11.4862841514852,1.54620727090934e-30,4.8924331949339e-29
"SL1344_3614",1707.6707506294,4.38181146605658,0.381549700641351,11.4842482085326,1.58306530119226e-30,4.9777509564364e-29
"SL1344_2233",160.289163403367,-2.96544000678219,0.258250918361626,-11.4827859106767,1.61007511138757e-30,5.03123471142289e-29
"SL1344_2280",681.312890567818,2.8204416435057,0.24571189941032,11.4786530496668,1.68891070130771e-30,5.24500601128339e-29
"SL1344_ncRNA_45",257.095833611666,5.26237671140556,0.459666815688576,11.4482414910082,2.39964080459457e-30,7.3613371267776e-29
"STnc2040",257.095833611666,5.26237671140556,0.459666815688576,11.4482414910082,2.39964080459457e-30,7.3613371267776e-29
"ArcZ",73491.3799310072,3.10808629489118,0.271839575812174,11.4335312862565,2.84306775721613e-30,8.61655053406889e-29
"SL1344_ncRNA_91",73491.3799310072,3.10808629489118,0.271839575812174,11.4335312862565,2.84306775721613e-30,8.61655053406889e-29
"SL1344_1210",505.736887672602,3.56894241954061,0.313021917727371,11.4015735557821,4.10629165511393e-30,1.23705109681905e-28
"SL1344_0588",1595.96272268293,3.08602305999176,0.271780599021349,11.3548320634518,7.01746033082411e-30,2.10147874549858e-28
"SL1344_3390",3342.12817201664,-3.04208727422663,0.267984205110841,-11.3517409467039,7.27005536609412e-30,2.1642395589834e-28
"SL1344_0574",2109.64179326846,-5.18356435025935,0.456783896698514,-11.347957727329,7.59151533097178e-30,2.2466419782423e-28
"SL1344_3478",527.485874899366,-2.51006100572116,0.221456150553307,-11.3343476776318,8.86904351550425e-30,2.60936596061415e-28
"SL1344_3106",522.117184477475,3.41309761936805,0.301511575189473,11.3199555182027,1.04524943388031e-29,3.05735459409992e-28
"SL1344_3405",2752.48098734027,-3.08557981243411,0.272806302561041,-11.3105151291133,1.16404095172185e-29,3.38513874457378e-28
"SL1344_2845",940.286472950706,2.45022107403945,0.216721520748287,11.3058503169387,1.22759182247322e-29,3.54943359704757e-28
"SL1344_4326",1093.00625310038,-3.07883803363011,0.272610074434079,-11.293926095804,1.40612273468099e-29,4.04240198753145e-28
"SL1344_2072",685.769592769659,-2.32602373346203,0.206416430187782,-11.2685978114532,1.87532557996668e-29,5.36066079137067e-28
"SraL",3217.50991632883,4.25417377749593,0.380873485430299,11.1695193817172,5.74911110095813e-29,1.62493134544496e-27
"SL1344_ncRNA_109",3217.50991632883,4.25417377749593,0.380873485430299,11.1695193817172,5.74911110095813e-29,1.62493134544496e-27
"SL1344_0045",1133.43989690082,-2.97219900473147,0.266146466199273,-11.1675313490959,5.879218833494e-29,1.65242178498929e-27
"SL1344_0172",812.311978347041,-2.1517954283711,0.193361246047242,-11.128369682958,9.12898703141771e-29,2.55155187528125e-27
"SL1344_4235",127.088652966371,4.92698808514604,0.443625075462098,11.1061983590848,1.1703675249247e-28,3.2531044297769e-27
"SL1344_3396",6855.21129696893,-2.6072384241081,0.234906436963026,-11.0990505744143,1.26783502280261e-28,3.50465824160434e-27
"SL1344_4483",1640.59091036775,-3.35409479953449,0.302331591959989,-11.094093004936,1.34012454337778e-28,3.68424403154843e-27
"SL1344_3383",7363.2914322988,-2.47101836716227,0.222874636650051,-11.0870326220303,1.45018745917843e-28,3.96515929735147e-27
"SL1344_2118",559.883412162238,4.01638002160839,0.362430737538863,11.0817864094039,1.53773397436937e-28,4.18180520273097e-27
"SL1344_3786",130.484565102371,4.99293704422387,0.451234659624187,11.0650565902501,1.85345847893437e-28,5.0133062406015e-27
"SL1344_3132",414.917514831547,-2.67362246793806,0.241756479392921,-11.0591553725958,1.97952777118439e-28,5.32567070418644e-27
"SL1344_3700",319.772772206802,-2.81399984214049,0.254830922806002,-11.0426152805746,2.38003247738435e-28,6.36911882644716e-27
"SL1344_2504",344.065503806216,-2.58113458204439,0.234721299887299,-10.9965929094791,3.9684386999345e-28,1.05636058726828e-26
"SL1344_1799",656.77111296445,5.28344177570926,0.48277526501995,10.9438949310937,7.10791849758517e-28,1.88210199796584e-26
"SL1344_3395",6713.47760283073,-2.67711026022257,0.244847412015263,-10.9337903071472,7.94586161507772e-28,2.0929649102333e-26
"SL1344_1662",1058.9575935403,4.11927863326517,0.377161394209017,10.9217928889676,9.06877094120542e-28,2.37630138568773e-26
"SL1344_1693",287.848415294669,4.19965656258757,0.384795308432899,10.9140014718238,9.88091160170715e-28,2.57569255275589e-26
"SL1344_2009",106.139468566216,4.47983793193691,0.41067138523562,10.9085709231156,1.04892268518017e-27,2.72017011811414e-26
"SL1344_2500",217.268813619789,-2.60569654751019,0.239122129059564,-10.8969276819258,1.19214907702008e-27,3.0757446187118e-26
"SL1344_3300",72106.3296441378,2.8963241478077,0.266907393221043,10.8514197109897,1.96351494620513e-27,5.04002229303979e-26
"SL1344_ncRNA_27",957.455478466924,3.49645304116504,0.322902980351998,10.8281844823901,2.53124170539531e-27,6.43165506052718e-26
"STnc520",957.455478466924,3.49645304116504,0.322902980351998,10.8281844823901,2.53124170539531e-27,6.43165506052718e-26
"SL1344_3400",3363.50170774722,-3.03545778609372,0.280744084601635,-10.8121878699632,3.01394684652666e-27,7.61968170094254e-26
"SL1344_0444",2568.03981796344,-1.99661103311404,0.184966760749971,-10.7944315239048,3.65718725880338e-27,9.1996545495199e-26
"SL1344_0407",1019.51517683804,-2.13453328702922,0.197949717897176,-10.7832095428294,4.13211458814125e-27,1.03426211407655e-25
"SL1344_1500",428.450232132996,2.39001482968412,0.22170606124714,10.7801059485691,4.27393214440256e-27,1.06446300091531e-25
"SL1344_4036",380.717251496937,-2.5814675380621,0.239642898524774,-10.772142859035,4.66026479439135e-27,1.15496513204842e-25
"SL1344_0378",601.380184942039,2.19120722841968,0.203440153098539,10.7707706421079,4.73025130689106e-27,1.1665634473024e-25
"SL1344_1530A",245.176432622885,3.75580371012972,0.348904576629273,10.7645584543892,5.06035412863951e-27,1.24188495713099e-25
"SL1344_2505",766.234130641953,-2.70116508563149,0.251476831175341,-10.7412085360186,6.51854302917953e-27,1.5919800961069e-25
"SL1344_2071",969.892772541732,-2.14603116333937,0.200294319554676,-10.7143885463689,8.71310932797293e-27,2.11766439753777e-25
