"","SRR951029","SRR951030","SRR951035","SRR951036","SRR951038","SRR951039"
"SL1344_3693",671.96,679.68,112.36,163.48,2.02,2.83
"SL1344_3694",918.67,939.38,149.15,138.24,1.6,2.24
"SL1344_3695",6.49,5.76,3.32,3.34,0.55,0.32
"SL1344_3696",16.82,17.28,3.66,4.35,0.38,0.26
"SL1344_3697",21.3,24.82,6.87,6.65,0.5,0.34
"SL1344_3698",25.16,24.64,3.86,5.41,0.15,0.08
"SL1344_3699",17.02,15.32,1.39,1.66,0.09,0.13
"SL1344_3700",24.81,24.99,1.94,2.9,0.49,0.31
"SL1344_3701",17.27,16.27,5.11,5.65,1.46,0.92
"SL1344_3702",2.51,3.04,0.87,1.04,0.19,0.07
"SL1344_3703",1.26,0.98,0.51,0.68,0.24,0.09
"SL1344_3704",18.61,19.08,1.74,2.53,0.17,0.07
"SL1344_3705",2.32,2.06,0.57,0.61,0.11,0.04
"SL1344_3706",36.9,35.78,8.21,10.35,2.57,1.18
"SL1344_3707",101.72,101.21,15.22,19.47,1.09,0.89
"SL1344_3708",47.86,48.29,6.27,8.73,0.35,0.2
"SL1344_3709",30.59,28.95,3.58,4.25,0.25,0.11
"SL1344_3710",11.92,12.13,1.46,1.43,0.17,0.07
"SL1344_3711",5.62,5.48,2.53,2.83,0.08,0.04
"SL1344_3712",3.95,4.35,2.17,2.31,0.17,0.08
"SL1344_3713",6.01,6.43,3.74,1.83,0.18,0.11
"SL1344_3714",5.88,5.6,3.66,3.74,0.64,0.3
"SL1344_3715",0.69,0.64,0.28,0.3,0.06,0.03
"SL1344_3716",0.45,0.53,0.35,0.23,0.14,0.06
"SL1344_tRNA_62",486.37,479.21,738.04,509.67,349.03,253.35
"SL1344_3717",1.89,2.76,1.59,1.74,14.46,3.5
"SL1344_3718",8.71,8.8,2.93,3.33,1.24,0.56
"SL1344_3720",4.87,5.33,1.66,2.15,0.47,0.23
"SL1344_3722",0.04,0.17,0.26,0.14,0.5,0.14
"SL1344_3723",1.22,1.26,0.49,0.51,0.27,0.09
"SL1344_3724",2.84,1.94,2,2.2,0.93,0.53
"SL1344_3725",3.12,3.17,0.91,1.32,0.87,0.34
"SL1344_3726",2.17,2.6,0.89,1.36,0.35,0.21
"SL1344_3727",7.28,7.77,11.06,11.75,2.98,1.69
"SL1344_3727A",1.11,1.4,1.05,1.47,0.42,0.04
"SL1344_3728",1.11,1.18,0.67,0.67,0.21,0.14
"AmgR",9.95,9.61,7.53,8.58,6.23,2.11
"SL1344_3729",0.56,0.34,0.5,0.6,0.5,0.27
"SL1344_3730",3.64,3.61,1.76,2.04,0.25,0.14
"SL1344_3731",2.34,2.13,1.33,1.36,0.82,0.28
"SL1344_3732",1.25,1.05,0.88,0.59,0.26,0.12
"SL1344_3733",0.77,0.82,0.34,0.31,0.02,0.03
"SL1344_3734",0.78,0.49,0.27,0.27,0.05,0.05
"SL1344_3735",0.55,0.28,0.25,0.28,0.21,0.09
"SL1344_3736",0.48,0.48,0.22,0.18,0.12,0.08
"SL1344_3737",0.18,0.31,0.05,0.19,0.02,0.02
"STnc4040",8.98,12.83,10.27,10.5,4.11,2.44
"SL1344_3738",3.09,2.65,2.01,2.22,0.39,0.21
"SL1344_3739",1.41,1.15,2.85,2.76,2.07,0.95
"SL1344_3740",1.24,1.13,1.3,1.67,0.2,0.15
"SL1344_3741",2.26,2.14,0.34,0.3,0.18,0.05
"SL1344_3743",5.25,4.78,3.35,2.39,9.09,4.41
"SL1344_3744",3.44,3.62,2.25,1.35,3.1,1.52
"SL1344_3745",3.36,4.15,6.77,5.99,5.83,1.85
"SL1344_3746",0.42,0.67,0.37,0.38,0.33,0.07
"SL1344_3747",1.38,1,0.66,1.01,0.16,0.07
"SL1344_3748",1.64,1.78,1.1,1.13,0.16,0.07
"SL1344_3749",2.79,2.45,3.51,3.79,0.63,0.28
"SL1344_3750",2.57,2.64,3.35,3.65,0.69,0.35
"SL1344_3751",3.52,3.54,3.71,3.73,1.76,0.87
"SL1344_3752",5.95,5.3,1.73,2.06,0.35,0.13
"SL1344_3753",0.54,0.54,0.7,0.66,0.05,0.03
"SL1344_3754",1.68,1.65,0.3,0.33,0.06,0.02
"SL1344_3755",2.74,2.74,0.56,0.79,0.02,0.02
"SL1344_3756",2.89,3.31,0.99,1.32,0,0
"SL1344_3757",1.56,1.13,0.93,1.13,0.1,0.08
"SL1344_3758",0.75,0.81,0.92,0.94,0.19,0.09
"SL1344_3759",1.04,0.74,1.55,1.38,0.57,0.28
"SL1344_3760",2.6,3.02,1.97,2.11,0.52,0.26
"SL1344_3761",2.4,2.78,2.17,2.23,0.22,0.11
"SL1344_3762",0.77,0.73,1.17,1.15,0.07,0.03
"SL1344_3763",106.21,99.58,137.7,165.02,38.85,26.07
"IstR-1,2",24.13,25.09,16.73,16.43,28.99,15.28
"SL1344_ncRNA_97",24.33,25.09,16.73,16.37,28.99,15.28
"SL1344_3765",0.82,0.53,0.22,0.23,0.04,0.05
"SL1344_3766",4.68,4.75,2.04,2.8,0.29,0.23
"SL1344_3767",4.96,5.79,2.68,2.79,0.7,0.42
"SL1344_3768",2.21,2.46,1.04,0.93,0.23,0.1
"SL1344_3769",3.85,3.76,0.59,0.68,0.12,0.05
"SL1344_3770",7.4,7.08,1.11,1.14,0.22,0.13
"SL1344_3771",7.32,7.12,13.22,15.47,0.55,0.2
"SL1344_3772",8.13,7.9,11.12,14.13,0.77,0.39
"SL1344_3773",5.43,5.77,3.16,4.25,0.43,0.44
"SL1344_3774",1.81,1.84,3.65,2.74,0.5,0.15
"STnc2110",20.45,26.08,5.34,12.92,1.03,1.34
"SL1344_3775",27.57,29.68,4.83,6.18,0.65,0.31
"SL1344_3776",26.27,24.59,6.68,5.89,0.89,0.64
"SL1344_3777",5.24,4.5,7.32,8.75,2.82,1.11
"SL1344_3778",2.3,2.57,1.07,1.38,0.16,0.12
"SL1344_3779",0.6,0.52,2.52,1.47,0.03,0.02
"SL1344_3780",0.37,0.79,2.96,1.75,0.01,0
"SL1344_3781",0.44,0.34,3.45,1.53,0.01,0
"SL1344_3782",0.59,0.33,4.47,1.96,0.01,0.03
"SL1344_3782A",0.49,0.24,6.69,3.65,0.03,0.02
"SL1344_3783",0.67,0.39,9.14,3.7,0.04,0.02
"SL1344_3784",0.32,0.12,5,2.3,0.01,0.01
"SL1344_3785",0.5,0.33,5.07,2.29,0.04,0.02
"SL1344_3786",0.2,0.13,3.75,3.46,0.22,0.08
"SL1344_3787",1.15,0.74,0.88,0.86,0.79,0.32
"SL1344_3788",0.45,0.44,0.25,0.35,0.06,0.02
"SL1344_3789",0.46,0.2,0.25,0.29,0.05,0.02
"SL1344_3790",4.71,5.19,6.77,4.99,5.16,2.13
"SL1344_3791",2.21,2.38,2.91,3.14,0.22,0.14
"SL1344_3792",1.63,1.68,0.82,0.82,0.18,0.11
"SL1344_3793",0.68,0.53,0.33,0.45,0.16,0.09
"SL1344_3794",0.45,0.41,0.34,0.34,0.3,0.13
"SL1344_3795",0.5,0.68,0.26,0.31,0.4,0.25
"SL1344_3796",0.97,0.74,0.42,0.66,0.71,0.44
"SL1344_3797",1.73,1.66,1.07,1.1,1.27,0.81
"SL1344_3798",4.99,5.86,1.45,1.77,0.26,0.25
"SL1344_3799",0.31,0.14,0.35,0.49,0.21,0.08
"SL1344_3800",0.39,0.44,0.63,0.5,0.07,0.04
"SL1344_3801",4.3,5.06,3.65,3.91,0.41,0.17
"SL1344_3802",20.64,20.21,4.14,6.59,0.57,0.27
"SL1344_3803",14.42,15.61,3.08,4.27,0.66,0.25
"SL1344_3804",10.96,9.9,4.33,6.27,0.19,0.11
"SL1344_3805",15.95,16.61,6.8,10.4,0.36,0.17
"SL1344_3806",1194.06,1222.32,184.42,352.19,4.26,19.19
"SL1344_3807",148.7,146.78,20.73,35.95,0.54,0.49
"SL1344_3808",54.1,56.61,3.58,5.58,0.2,0.03
"SL1344_3809",38.95,36.79,5.61,7.02,0.3,0.23
"STnc4250",83.54,64.32,14.72,21.12,1.91,1.88
"SL1344_3810",3.18,3.35,0.7,0.83,0.27,0.17
"STnc3170",2.23,1.57,5.72,3.47,2.2,1.22
"SL1344_3811",0.77,0.9,1.68,1.84,0.31,0.13
"STnc400",4364.52,4480.05,10843.66,11888.67,15502.29,10536.43
"SL1344_ncRNA_98",4365.22,4480.05,10843.96,11889.04,15502.29,10536.54
"SL1344_3812",25.58,28.9,6.25,9.83,0.64,0.37
"SL1344_3813",19.67,20.73,5.06,8.55,0.34,0.22
"SL1344_3814",1.92,1.93,0.75,0.68,0.48,0.23
"SL1344_3815",2.97,2.61,1.71,1.27,3.27,1.46
"SL1344_3816",5.45,6.04,3.11,3.23,1.55,0.54
"SL1344_3817",9.3,9.41,7.74,8.47,2.78,1.86
"SL1344_3818",6.19,6.18,2.42,2.3,0.17,0.12
"SL1344_3819",8.79,8.58,5.95,5.22,0.86,0.37
"STnc1860",85.62,94.2,103.04,61.53,16.13,7.58
"SL1344_3820",6.46,7.54,1.21,1.76,0.16,0.06
"SL1344_3821",7.8,6.37,1.49,2.03,0.13,0.09
"SL1344_3822",3.31,3.81,1.21,1.05,0.23,0.09
"SL1344_3823",4.21,3.97,1.44,2.07,0.31,0.14
"SL1344_3824",4.55,4.66,1.65,2.79,0.16,0.09
"SL1344_3825",2.09,1.88,1.14,1.38,1.32,0.58
"SL1344_3826",0.25,0.51,0.2,0.17,0.19,0.08
"SL1344_3827",1.25,1.42,0.76,0.78,0.67,0.28
"SL1344_3828",35.93,36.36,8.16,11.74,0.28,0.23
"SL1344_3829",105.67,106.08,18.46,22.11,0.88,0.52
"SL1344_3830",3.56,2.95,1.17,1.12,0.82,0.46
"SL1344_3831",236.72,242.06,51.58,66.24,0.48,0.25
"SL1344_3832",128.24,129.18,27.85,27.15,0.31,0.2
"SL1344_3833",148.19,147.86,27.98,30.15,0.28,0.24
"SL1344_3834",155.32,162.33,33.48,30.45,0.22,0.22
"SL1344_3835",236.33,237.71,52.65,57.2,0.32,0.34
"SL1344_3836",408.92,386.68,106,111.66,0.44,0.59
"SL1344_3837",332.47,325.15,105.72,101.94,1.28,0.65
"SL1344_3838",121.71,122.23,42.67,45.36,0.58,0.34
"SL1344_3839",109.71,117.06,37.75,57.18,1.25,1.03
"SL1344_3840",11.3,10.64,2.71,3.16,0.5,0.26
"SL1344_3841",11.99,12.93,2.1,2.98,0.2,0.14
"SL1344_3842",100.73,94.75,7.18,8.49,1.03,0.57
"SL1344_3843",3.78,3.24,2.35,2.14,2.96,0.75
"SL1344_3844",2.03,2.57,8.18,5.97,1.65,0.8
"SL1344_3845",3.29,3.35,1.37,1.74,0.14,0.08
"SL1344_3846",5.05,5.26,3.18,3.24,0.83,0.51
"SL1344_3847",3.66,3.6,1.84,2.37,0.19,0.11
"SL1344_3848",29.1,28.19,4.17,2.91,0.47,0.18
"SL1344_3849",2.53,1.82,0.72,0.68,0.07,0.04
"SL1344_3850",6.65,6.07,1.96,1.71,0.14,0.07
"SL1344_3851",34.24,36.91,25.07,17.61,6.19,2.83
"SL1344_3852",8.08,9.14,3.29,4.2,0.2,0.11
"SL1344_3853",8.24,10.16,3.9,3.69,0.42,0.21
"SL1344_3854",2.73,3.44,1.51,1.41,0.44,0.22
"SL1344_3857",5.84,6.25,3.23,2.77,1.28,0.41
"SL1344_rRNA_11",3506.58,3525.84,1409.24,788.51,1031.37,353.77
"SL1344_tRNA_63",3595.21,3523.88,5025.44,6654.05,4529.94,7237.81
"SL1344_rRNA_12",4211.32,4242,1855.49,1061.37,903.76,548.09
"SL1344_rRNA_13",26904.86,26609.71,17946.37,3482.15,12790.11,7236.68
"SL1344_tRNA_64",13469.42,13591.36,16100.68,12963.6,16936.33,17145.63
"SL1344_tRNA_65",2398.94,2341.28,1642.26,934.14,1483.92,794.86
"SL1344_3858",6.65,5.68,4.49,4.15,1.02,0.49
"SL1344_3859",382.44,379.53,70.67,72.61,4.85,4.21
"SL1344_3860",2.11,2.37,0.47,0.87,0.11,0.07
"SL1344_3860A",2.54,1.02,6.61,6.68,0.13,0.16
"SL1344_3861",0.99,0.86,1.22,0.92,0.07,0.04
"SL1344_3862",4.56,3.5,3.54,3.58,0.08,0.15
"SL1344_3863",3.29,3.53,2.6,2.46,6.21,3.06
"SL1344_3864",2.62,2.51,1.68,1.68,0.12,0.09
"SL1344_3865",7.14,6.92,3.29,3.21,0.19,0.11
"SL1344_3866",7.41,7.96,4.11,4.93,28.67,13.06
"SL1344_3867",7.95,7.09,4.1,4.9,11.02,3.99
"SL1344_3868",2.95,3.47,1.53,2.04,0.88,0.44
"SL1344_3869",5.68,5.58,2,2.48,0.07,0.05
"SL1344_3870",100.47,102.75,28.59,24.69,9.47,4.14
"SL1344_3870A",40.88,45.17,10.56,6.66,1.17,0.71
"SL1344_3871",2.33,2.58,1.96,3.32,0.59,0.54
"SL1344_3872",5.96,6.21,1.04,1.24,0.21,0.09
"SL1344_3873",14.14,14.62,3.45,5.06,0.26,0.15
"SL1344_3874",24.43,25.38,7.31,9.59,0.59,0.36
"SL1344_3875",166.77,173.01,45.89,50.99,8.61,3.73
"SL1344_3876",40.35,38.87,11.73,18.46,0.8,0.48
"SL1344_3877",24.8,24.22,9.58,9.25,4.62,2.03
"SL1344_3878",26.79,27.9,12.36,12.91,1.72,1.17
"SL1344_3879",17.61,17.94,5.76,7.85,0.57,0.29
"SL1344_3880",13.84,13.53,4.85,5.09,0.17,0.08
"SL1344_3881",11.12,11.42,2.67,2.95,0.11,0.09
"SL1344_3882",12.78,15.19,4.64,3.27,0.15,0.11
"SL1344_3883",9.53,9.36,1.84,2.22,0.1,0.09
"SL1344_3884",11.72,11.67,3.18,4.33,0.18,0.11
"SL1344_3885",8.36,8.9,1.43,1.93,0.2,0.13
"SL1344_3886",7.72,8.02,1.79,2.16,0.06,0.06
"SL1344_3887",7.64,7.62,1.63,1.58,0.12,0.09
"SL1344_3888",8.32,8.62,1.57,1.79,0.28,0.21
"SL1344_3889",10.15,10.07,4,4.04,2.3,1.31
"SL1344_tRNA_66",1886.36,1949.43,1039.32,909.91,825.6,735.52
"SL1344_tRNA_67",16067.42,16330.69,25181.45,23567.1,28203.75,30812.47
"SL1344_tRNA_68",6590.74,6456.14,9824.88,5893.08,13954.44,3609.95
"SL1344_tRNA_69",2065.19,2074.9,2105.69,1441.94,1096.6,1148.83
"GlmZ",626.78,631.73,183.02,210.46,54.5,43.58
"SL1344_ncRNA_99",626.78,631.73,183.02,210.42,54.5,43.58
"SL1344_3890",8.43,8.3,3.83,4.48,0.37,0.23
"SL1344_3891",9.5,9.56,7.06,8.01,0.85,0.53
"SL1344_3892",12.41,12.18,7.22,9.16,1.87,0.93
"SL1344_3893",15.45,15.26,11.07,12.37,3.18,1.51
"SL1344_3894",17.7,18.24,4.85,6.87,4.64,2.63
"SL1344_3895",2.78,2.95,0.95,1,0.9,0.36
"SL1344_3896",1,1.15,0.64,0.63,2.36,0.9
"SL1344_3897",3.64,3.38,0.96,1.11,0.52,0.22
"SL1344_3898",22.27,21.53,7.76,7.48,1.06,0.39
"SL1344_3899",0.73,1.07,0.56,0.61,1.21,0.67
"SL1344_3899A",0.54,1.2,0.71,0.43,0.39,0.18
"SL1344_3900",16.25,14.58,12.96,10.13,38,14.15
"SL1344_3901",13.45,14.62,6.12,7.11,0.8,0.42
"SL1344_3902",9.58,8.36,4.59,4.63,0.17,0.09
"SL1344_3903",8.43,8.41,3.59,4.34,0.14,0.06
"SL1344_3904",5.27,5.17,2.66,3.45,0.34,0.14
"SL1344_3905",6.86,7.21,2.09,2.4,0.22,0.14
"SL1344_3906",8.03,6.86,4.36,4.83,0.38,0.32
"SL1344_3907",2.72,2.74,1.03,1.23,1.08,0.76
"SL1344_3908",1.18,0.85,0.4,0.43,0.37,0.21
"SL1344_3909",3.83,4.04,2.18,1.43,0.72,0.28
"SL1344_3910",1.01,0.38,1.05,0.31,0.34,0.28
"SL1344_3911",13.63,12.57,4.46,4.07,5.36,2.61
"SL1344_3912",9.59,10.08,2.9,3.11,0.61,0.31
"SL1344_3913",4.46,4.12,1.19,1.24,0.36,0.12
"SL1344_3914",1.88,1.43,0.63,0.67,0.11,0.06
"SL1344_3915",11.69,12.03,3.29,4.73,0.31,0.32
"SL1344_3916",7.95,8.86,2.64,3.23,0.54,0.28
"SL1344_3917",2.33,2.75,0.86,1.24,0.2,0.2
"SL1344_3918",0.98,1.07,0.6,0.34,2.35,0.81
"SL1344_3919",1.37,1.59,0.84,0.8,0.85,0.46
"SL1344_3920",0.98,1.28,0.8,1.13,0.12,0.08
"SL1344_3921",2.17,1.41,3.99,4.11,0.47,0.31
"SL1344_3922",32.83,32.52,6.24,8.42,0.88,0.69
"SL1344_3923",3.67,3.72,1.33,1.81,0.34,0.2
"SL1344_3924",34.29,32.71,11.99,12.83,5.13,2.22
"SL1344_3925",20.39,20.79,5.1,6.5,0.52,0.3
"SL1344_3926",15.51,15.53,5.52,6.38,1.04,0.39
"SL1344_3927",145.84,147.49,64.6,71.45,8.76,5.78
"SL1344_3928",47.27,47.03,20.83,30.22,1.74,1.76
"SL1344_3929",27.52,27.39,6.53,8.31,1.61,0.74
"SL1344_3930",8.21,7.45,1.07,1.96,0.16,0.1
"SL1344_3931",46.55,47.36,7.21,8.63,1.05,0.4
"SL1344_3932",31.36,30.58,9.86,10.92,1.53,0.69
"SL1344_3933",27.08,24.19,9.42,11.44,1.08,1.35
"SL1344_3934",2.54,2.7,1.07,1.49,0.46,0.25
"STnc790",19.16,18.1,29.75,30.3,45.58,26.79
"SL1344_3935",1.96,2.15,2.4,2.04,3.68,2.04
"SL1344_3936",1.43,1.17,2.89,1.37,0.89,0.52
"SL1344_3937",8.44,8.99,3.59,3.56,0.5,0.21
"SL1344_3938",10.32,10.56,4.33,4.67,1.43,1.03
"SL1344_3939",7.49,7.98,3.11,3.36,0.46,0.3
"SL1344_3940",11.76,12.18,4.66,5.66,0.37,0.18
"SL1344_rRNA_14",3627.6,3659.76,1417.61,805.46,1035.87,353.53
"SL1344_tRNA_70",5801.16,5789.78,4822.12,6247.9,2765.01,3190.89
"SL1344_tRNA_71",10760.8,10649.18,11821.46,14428.3,8998.6,14045.72
"SL1344_rRNA_15",4183.9,4230.35,1823.82,1034.5,897.23,537.9
"SL1344_rRNA_16",27854.38,27634.59,18719.82,22186.17,13694.78,27600.56
"SL1344_3941",4.77,4.25,2.38,2.62,0.66,0.39
"SL1344_3942",6.42,6.33,2.38,2.68,0.37,0.15
"SL1344_3943",17.74,14.97,17.65,17.6,2.78,1.3
"SL1344_3944",22.78,21.64,9.36,10.94,3.77,1.68
"SL1344_3945",38.02,36.07,16.42,21.19,2.09,1.36
"SL1344_3946",5.3,5.25,1.6,2.3,0.73,0.39
"SL1344_3947",6.4,6.35,2.61,2.59,0.93,0.38
"Spf",1980.96,2027.26,69.33,94.84,43.57,36.39
"SL1344_ncRNA_100",1981.67,2027.49,69.04,94.96,43.45,36.39
"SL1344_3948",11.96,11.26,6.24,6.82,0.82,0.56
"CsrC",569.01,573.16,1612.98,1637.34,352.65,315.62
"SL1344_ncRNA_101",569.01,573.16,1612.98,1637.37,352.65,315.62
"SL1344_3950",29.41,30.73,11.01,10.07,2.56,1.51
"SL1344_3951",9.33,9.83,3.33,3.67,0.23,0.13
"SL1344_3951A",126.92,131.58,64.69,57.8,14.88,7.11
"SL1344_3952",7.46,6.92,0.68,1.03,0.09,0.04
"SL1344_3953",13.2,12.49,1.32,1.68,0.87,0.26
"STnc800",214.18,217.25,28.52,45.59,1.34,1.5
"SL1344_3954",41.25,42.67,2.48,3.48,0.22,0.14
"SL1344_3955",36.92,37.74,3.82,6.01,0.41,0.25
"SL1344_3956",2.5,1.85,0.96,1.12,0.32,0.21
"SL1344_3957",0.62,0.24,0.47,0.61,0.22,0.12
"SL1344_3958",0.92,0.65,0.6,0.49,0.51,0.21
"SL1344_3959",1.17,1.03,2.25,2.27,6.02,2.14
"SL1344_3960",1.01,0.81,0.68,0.75,0.28,0.13
"SL1344_3961",1.07,1.2,0.72,0.85,0.22,0.16
"SL1344_3962",0.15,0.19,0.57,0.45,2.29,0.83
"SL1344_3963",0.89,1.19,0.8,0.84,0.14,0.07
"SL1344_3964",1.59,1.53,1.32,1.3,3.77,2.18
"STnc3120",5.21,4.59,8.83,8.06,32.53,18.69
"SL1344_3965",1.26,1.17,0.62,0.49,0.33,0.15
"SL1344_3966",2.43,2.33,0.83,0.96,0.1,0.06
"SL1344_3967",0.35,0.29,0.13,0.17,0.08,0.03
"SL1344_3968",0.12,0.18,0.12,0.15,0.02,0.01
"SL1344_3969",0.26,0.2,0.13,0.14,0.04,0.02
"SL1344_3970",0.32,0.49,0.52,0.57,0.09,0.05
"SL1344_3971",8.83,7.3,5.89,4.87,10.22,5.11
"SL1344_3972",12.43,11,4.82,5.1,1.46,0.77
"SL1344_3973",9.85,9.95,3.75,4.36,1.05,0.54
"SL1344_3974",12.65,14.17,6.66,7.04,0.46,0.4
"SL1344_3975",7.46,8.93,2.91,3.31,0.18,0.07
"SL1344_3976",13.28,14.04,7.18,6.93,1.29,0.69
"SL1344_3977",8.8,9.45,6.17,5.27,4.27,2.19
"SL1344_3978",1.73,1.94,0.94,1.1,0.43,0.14
"SL1344_3979",11.04,11.03,6.28,5.86,4.58,1.59
"SL1344_3980",6.85,6.36,3.48,4.08,0.47,0.32
"SL1344_3981",23.53,23.22,8.14,8.92,0.31,0.23
"SL1344_3982",40.11,39.25,10.97,12.21,0.77,0.45
"SL1344_3983",37.83,36.6,8.13,10.93,0.17,0.08
"SL1344_3984",40.4,37.76,9.13,11.07,0.19,0.12
"SL1344_3986",3.34,3.61,1.59,2.32,1.08,0.43
"SL1344_3987",1.56,1.49,1.31,1.32,2.76,1.05
"SL1344_3988",0.27,0.37,0.2,0.25,0.23,0.09
"SL1344_3989",2.96,3.22,0.5,0.72,0.1,0.09
"SL1344_3990",4.71,4.58,1.42,1.35,0.57,0.24
"SL1344_3991",10.41,10.3,4.47,4.89,1.87,0.88
"SL1344_3992",4.44,4.14,4.14,4.42,0.23,0.31
"SL1344_3993",0.47,0.41,0.94,1.03,0.11,0.05
"SL1344_3994",1,0.88,0.59,0.53,0.06,0.01
"SL1344_3995",0.16,0.14,0.05,0.07,0.01,0
"SL1344_3996",0.62,0.46,0.22,0.2,0.04,0.02
"SL1344_3997",1.49,1.43,1.69,1.63,0.69,0.38
"SL1344_3998",0.98,1.29,1.96,1.64,0.94,0.51
"SL1344_3999",0.48,0.48,0.43,0.43,0.12,0.02
"SL1344_4000",0.42,0.46,0.62,0.45,0.34,0.16
"SL1344_4001",0.53,0.4,0.28,0.25,0.18,0.1
"SL1344_4002",0.3,0.2,0.04,0.08,0.09,0.02
"SL1344_4003",0.29,0.19,0.15,0.21,0.17,0.04
"SL1344_4004",63.47,65.6,3.08,3.89,1.64,2.29
"SL1344_4005",4.02,5.22,1.32,1.47,0.13,0.08
"SL1344_4006",6.93,7.05,3.05,3.74,0.68,0.31
"SL1344_4007",10.48,10.44,3.82,4.01,0.17,0.12
"SL1344_4008",11.37,10.37,6.18,6.47,0.94,0.38
"SL1344_4009",30.09,31.91,52.29,42.19,134.5,76.54
"STnc870",195.57,219.45,515.48,584.75,1897.75,1682.38
"SL1344_ncRNA_102",195.57,219,514.92,583.57,1892.91,1679.39
"SL1344_4010",13.28,14.64,5.71,6.24,1.89,1.03
"SL1344_4011",13.5,12,6.44,9.21,4.01,2.53
"SL1344_4012",0.84,0.95,0.74,0.39,0.44,0.15
"SL1344_4013",12.71,12.07,4.43,4.5,0.68,0.34
"SL1344_4014",0.68,0.92,0.73,0.68,0.29,0.16
"SL1344_4015",1.16,1.2,0.54,0.61,0.06,0.03
"SL1344_4016",10.82,11.15,5.02,6.2,0.95,0.82
"SL1344_4017",10.03,9.81,4.88,5.21,0.58,0.27
"SL1344_4018",2.83,2.05,0.46,0.74,0.71,0.1
"SL1344_4019",3.14,1.98,1.57,1.96,0.25,0.12
"SL1344_4020",3.98,2.74,3.63,3.47,0.44,0.29
"SL1344_4021",1.33,0.88,2.14,1.91,0.24,0.14
"SL1344_4022",2.75,1.93,2.3,1.86,0.9,0.47
"SL1344_4023",0.93,0.92,1.73,1.5,0.76,0.45
"SL1344_4024",0.27,0.27,1.25,0.94,0.41,0.24
"SL1344_4025",0.18,0.23,3.4,2.62,0.68,0.41
"SL1344_4026",0.43,0.89,8.7,8.54,0.38,0.26
"SL1344_4027",1.24,1.61,26.79,28,0.57,0.45
"SL1344_4028",2.2,1.42,8.99,8.26,0.38,0.27
"SL1344_4029",6.84,7.33,14.86,11.17,2.71,1.12
"SL1344_4030",36.05,36.75,24.22,25.4,2.39,1.92
"SL1344_4031",6.46,6.38,3.43,3.52,0.48,0.17
"SL1344_4032",5.86,5.29,3.85,3.12,0.96,0.47
"SL1344_4033",5.41,6.08,2.65,2.8,2.81,1.09
"SL1344_4034",8.12,8.75,1.41,2.05,0.09,0.1
"SL1344_4035",42.82,42.62,3.25,3.63,0.21,0.11
"SL1344_4036",25.87,25.53,2.92,2.93,0.26,0.2
"SL1344_4037",138.12,137.47,40.44,68.64,8.6,8.07
"SL1344_4038",20.2,20.88,13.63,17.62,2.57,1.53
"SL1344_4039",5.96,4.82,1.13,1.32,0.2,0.05
"SL1344_4040",42.35,41.82,5.33,5.84,1.08,0.58
"SL1344_4041",43.46,42.98,5.98,5.68,0.64,0.97
"SL1344_4042",17.32,19.66,5.23,6.83,0.77,0.36
"SL1344_4043",8.18,8.44,2.79,3.45,0.15,0.07
"SL1344_4044",7.09,6.91,3.39,3.78,0.16,0.09
"SL1344_4045",152.83,153.8,29.63,44.24,1.44,1.1
"SL1344_4046",1.56,1.61,0.57,0.4,0.15,0.1
"IsrP",6.47,7.58,3.68,4.19,0.66,1.09
"SL1344_ncRNA_103",6.65,7.58,3.97,4.19,0.71,1.09
"SL1344_4047",0.64,0.68,0.38,0.33,0.21,0.09
"SL1344_4048",21.99,25.67,9.55,11.92,1.99,1.54
"SL1344_4049",5.04,5.39,1.32,1.54,0.22,0.12
"SL1344_4050",4.61,4.59,1.97,2.09,0.28,0.17
"STnc4070",9.16,8.69,5.28,7.09,1.12,0.57
"SL1344_4051",1.98,1.63,0.8,0.95,1.12,0.38
"SL1344_4052",0.54,0.47,0.39,0.39,0.56,0.17
"SL1344_4053",1.15,1.07,1.14,1.22,0.2,0.09
"SL1344_4054",1.31,1.01,0.78,0.8,0.38,0.12
"STnc4080",1.86,1.88,0.87,1.58,9.4,2.16
"SL1344_4055",3.78,3.45,1.21,2.24,0.91,0.98
"SL1344_4056",1.89,1.99,2.68,2.96,0.18,0.16
"SL1344_4057",1.45,1.21,0.7,0.79,0.31,0.1
"SL1344_4058",2.56,2.79,2.72,3.5,0.22,0.11
"SL1344_4059",2.34,2.4,2.46,2.18,0.12,0.1
"SL1344_4060",0.79,1,0.58,0.66,0.21,0.12
"SL1344_4061",0.58,0.48,0.89,0.76,0.06,0.06
"SL1344_4062",2.74,2.76,3.8,3.89,0.41,0.33
"SL1344_4063",1.98,2.02,2.02,2.09,1.49,0.69
"SL1344_4064",3.51,3.65,2.25,3.02,0.53,0.28
"SL1344_4065",3,1.99,1.01,1.54,0.11,0.1
"SL1344_4066",6.5,6.89,1.85,2.03,0.16,0.1
"SL1344_4068",8.84,9.52,2.52,2.67,0.4,0.17
"STnc1600",14.23,16.16,39.08,33.9,7.91,1.53
"SL1344_ncRNA_104",14.23,16.16,38.77,34,7.91,1.59
"SL1344_4069",4.27,4.2,2.78,3.27,0.17,0.13
"SL1344_4070",2.99,2.74,2.31,2.37,0.7,0.29
"SL1344_4071",1.57,1.27,0.84,1.04,0.42,0.2
